prospect_id,organization,segment,city,region,country,cvd_relevance,hydrogen_relevance,public_source,contact_route,verification_status,priority_score,tier,stage,last_verified,next_action,notes
HS-001,Diamond Foundry,CVD grower,San Francisco,California,United States,"Commercial lab-grown diamond producer using CVD","CVD diamond growth commonly uses hydrogen-rich plasma; confirm site-specific system before outreach",https://diamondfoundry.com/,https://diamondfoundry.com/pages/contact,RESEARCHED,8,A,RESEARCHED,2026-08-02,"Verify current production site and business contact","Target operator/compliance leadership; do not assume permit state"
HS-002,Great Lakes Crystal Technologies,CVD grower / materials manufacturer,East Lansing,Michigan,United States,"US manufacturer of CVD diamond materials and reactors designed/built in the USA","Microwave-plasma CVD process indicates hydrogen-process relevance; confirm gas train scope",https://glcrystal.com/,https://glcrystal.com/contact/,VERIFIED,9,A,VERIFIED,2026-08-02,"Prepare tailored free-assessment outreach","Strong technical and domestic-manufacturing fit"
HS-003,WD Advanced Materials,CVD grower / materials manufacturer,Beltsville,Maryland,United States,"Commercial CVD diamond growth and precision materials", "CVD growth has likely hydrogen-bearing process; verify facility-specific documentation needs",https://www.wdadvancedmaterials.com/about-us,https://www.wdadvancedmaterials.com/contact,VERIFIED,8,A,VERIFIED,2026-08-02,"Identify operations or EHS contact","Public site confirms Washington DC-area CVD growth"
HS-004,Kentucky Advanced Materials Manufacturing,CVD grower / materials manufacturer,Louisville,Kentucky,United States,"Produces single-crystal and polycrystalline diamond using CVD", "Hydrogen relevance inferred from CVD process; confirm directly",https://www.kyammc.com/about-us/,https://www.kyammc.com/contact-us/,VERIFIED,8,A,VERIFIED,2026-08-02,"Prepare tailored outreach","Production facility started operations in Louisville"
HS-005,Clarity Diamond,CVD grower,Austin,Texas,United States,"Sister company of Plasmability using proprietary microwave-plasma platform", "Microwave-plasma diamond growth is directly relevant to hydrogen safety documentation",https://www.plasmability.com/,https://www.plasmability.com/contact,RESEARCHED,9,A,RESEARCHED,2026-08-02,"Verify Clarity corporate contact and facility location","Use Plasmability relationship only after verification"
HS-006,Plasmability,Reactor OEM / process supplier,Austin,Texas,United States,"Develops CVD equipment and processes for diamond growth", "Equipment and process support creates hydrogen installation and commissioning documentation needs",https://www.plasmability.com/,https://www.plasmability.com/contact,VERIFIED,10,A,VERIFIED,2026-08-02,"Prepare OEM-specific outreach","High-priority OEM/channel candidate"
HS-007,Seki Diamond Systems,Reactor OEM,Santa Clara,California,United States,"Supplies microwave-plasma and hot-filament diamond CVD systems worldwide", "Diamond CVD systems are designed for hydrogen-bearing process service; validate customer documentation scope",https://sekidiamond.com/,https://sekidiamond.com/contact-us/,VERIFIED,10,A,VERIFIED,2026-08-02,"Prepare OEM partnership email","Potential direct customer and referral/channel partner"
HS-008,Carat Systems,Reactor OEM,Palo Alto,California,United States,"Builds 2.45 GHz and 915 MHz microwave-plasma CVD diamond systems", "Hydrogen plasma and gas-handling documentation are core installation concerns",https://www.caratsystems.com/about.html,https://www.caratsystems.com/contact.html,VERIFIED,10,A,VERIFIED,2026-08-02,"Prepare OEM-specific gap-assessment offer","Strong fit for commissioning-document review"
HS-009,CVD Diamond Corporation,CVD coating operator,London,Ontario,Canada,"Produces CVD diamond-coated cutting tools", "Hydrogen-bearing CVD relevance requires confirmation of coating process and facility",https://www.cvddiamond.com/,https://www.cvddiamond.com/contact,VERIFIED,6,B,VERIFIED,2026-08-02,"Confirm US operations or customer footprint before outreach","Adjacent North American operator"
HS-010,CVD Materials Corporation,CVD materials operator,Central Islip,New York,United States,"Uses CVD processes for semiconductor materials and deposition services", "Potential hydrogen use depends on process chemistry; qualify before offering HydraSafe",https://cvdmaterialscorporation.com/,https://cvdmaterialscorporation.com/contact-us/,VERIFIED,6,B,VERIFIED,2026-08-02,"Qualify diamond-specific and hydrogen process scope","Keep as adjacent lead, not assumed diamond grower"
HS-011,CVD Diamond Inc,Lab-grown diamond manufacturer,New York,New York,United States,"Markets itself as a lab-grown CVD diamond manufacturer and wholesaler", "Hydrogen-process ownership and grow-site location must be verified",https://cvddiamondinc.com/,https://cvddiamondinc.com/contact-us/,VERIFIED,7,B,VERIFIED,2026-08-02,"Verify whether growth is in-house and where","Commercial contact path is public"
HS-012,Element Six,CVD diamond materials manufacturer,Santa Clara,California,United States,"Produces single-crystal and polycrystalline CVD diamond materials", "CVD production and joint reactor platform work indicate strong hydrogen-process relevance",https://e6cvd.com/us/,https://e6cvd.com/us/contact-us/,VERIFIED,9,A,VERIFIED,2026-08-02,"Target US technical operations or EHS contact","Also partnered with Seki on compact reactor platform"
HS-013,SP3 Diamond Technologies,CVD coating equipment / operator,Santa Clara,California,United States,"Diamond coating systems and services", "Hydrogen-process relevance likely but current operating status and contact must be verified",https://sp3diamondtech.com/,https://sp3diamondtech.com/contact/,RESEARCHED,6,B,RESEARCHED,2026-08-02,"Verify current company status and offering","Do not contact until site and operations are confirmed"
HS-014,Blue Wave Semiconductors,CVD equipment supplier,Baltimore,Maryland,United States,"Thin-film and CVD deposition equipment with diamond-related historical relevance", "Hydrogen applicability is process-dependent",https://www.bluewavesemi.com/,https://www.bluewavesemi.com/contact,RESEARCHED,5,B,RESEARCHED,2026-08-02,"Verify active diamond reactor offering","Adjacent OEM candidate"
HS-015,NeoCoat,Hot-filament diamond CVD OEM / operator,La Chaux-de-Fonds,Neuchatel,Switzerland,"Industrial hot-filament diamond CVD systems distributed by Seki", "Hot-filament diamond CVD commonly uses hydrogen-bearing chemistry; confirm system specs",https://sekidiamond.com/neocoat/,https://www.neocoat.ch/contact/,VERIFIED,8,A,VERIFIED,2026-08-02,"Prepare OEM/channel outreach","Global OEM included because of direct reactor relevance"
HS-016,Hebei Plasma Diamond Technology,Reactor OEM / grower,Shijiazhuang,Hebei,China,"Develops high-power microwave-plasma CVD diamond reactors and grows diamond", "Explicit hydrogen-plasma reactor relevance",https://www.hediamond.cn/en/,https://www.hediamond.cn/en/contact.html,VERIFIED,8,A,VERIFIED,2026-08-02,"Consider after US and Surat batch","Global OEM benchmark and later-market prospect"
HS-017,Soni CVD Diamonds,Reactor OEM / diamond manufacturer,Surat,Gujarat,India,"Offers 6 kW microwave-plasma CVD reactors and diamond products", "Explicit plasma reactor and hydrogen-process relevance",https://sonicvd.com/products/microwave-plasma-cvd-reactor/,https://sonicvd.com/contact-us/,VERIFIED,10,A,VERIFIED,2026-08-02,"Prepare Surat OEM outreach","Highest-priority Surat OEM candidate"
HS-018,KIRA Diamonds,CVD grower,Surat,Gujarat,India,"States that it is a large CVD lab-grown diamond grower with Surat facilities", "CVD growth strongly indicates hydrogen-system documentation need; confirm plant scope",https://kiradiam.com/about-us/,https://kiradiam.com/contact-us/,VERIFIED,9,A,VERIFIED,2026-08-02,"Prepare localized outreach","Large-scale Surat grower"
HS-019,SolDiamonds,CVD grower,Surat,Gujarat,India,"Produces rough and polished CVD diamonds at a Surat facility", "Site references CVD reactor chamber; hydrogen documentation relevance is strong",https://www.soldiamonds.in/,https://www.soldiamonds.in/#contact,VERIFIED,9,A,VERIFIED,2026-08-02,"Prepare localized outreach","Public contact information available on official site"
HS-020,Zymera Exports,CVD grower,Surat,Gujarat,India,"Official site describes advanced CVD manufacturing and reactors in Surat", "Hydrogen-process relevance inferred from reactor operation; confirm installation details",https://www.zymeraexports.com/,https://www.zymeraexports.com/contact,VERIFIED,8,A,VERIFIED,2026-08-02,"Prepare localized outreach","Good production-complexity fit"
HS-021,Lepdo Diamonds,CVD / HPHT grower,Surat,Gujarat,India,"Official site states Surat manufacturing uses CVD and HPHT", "CVD line may have hydrogen permit documentation; separate from HPHT scope",https://lepdodiamonds.com/,https://lepdodiamonds.com/contact-us/,VERIFIED,8,A,VERIFIED,2026-08-02,"Prepare localized outreach focused only on CVD line","Avoid implying all operations use hydrogen"
HS-022,Rahi Impex,CVD diamond manufacturer,Surat,Gujarat,India,"Official site identifies company as a CVD diamond manufacturer in Surat", "Hydrogen-process relevance requires facility confirmation",https://www.rahiimpex.in/about/,https://www.rahiimpex.in/contact/,VERIFIED,7,B,VERIFIED,2026-08-02,"Verify grow-site and operations contact","Potential mid-market conversion candidate"
HS-023,Diyam Impex,CVD / HPHT diamond manufacturer,Surat,Gujarat,India,"Company states it manufactures CVD and HPHT lab-grown diamonds in Surat", "Hydrogen relevance applies only to CVD process assets",https://diyamimpex.com/,https://diyamimpex.com/contact-us/,VERIFIED,7,B,VERIFIED,2026-08-02,"Verify in-house growth versus polishing/distribution","Public generic email exists on company site"
HS-024,Vala Brothers,CVD diamond manufacturer,Surat,Gujarat,India,"Manufacturer and exporter listing CVD diamond products", "In-house CVD growth and hydrogen system ownership are not yet confirmed",https://www.valabrothers.in/,https://www.valabrothers.in/contact-us.html,RESEARCHED,5,B,RESEARCHED,2026-08-02,"Confirm whether company grows or only trades/polishes","Do not present permit offer until grower status is confirmed"
HS-025,N H Sales,CVD diamond manufacturer,Surat,Gujarat,India,"Public profile states manufacture of CVD and HPHT diamonds", "Need to verify actual growth operations and hydrogen use",https://www.nhdiam.com/profile.html,https://www.nhdiam.com/contact-us.html,RESEARCHED,5,B,RESEARCHED,2026-08-02,"Verify facility and in-house reactor ownership","Marketplace-style site requires additional diligence"
HS-026,Nishal Gems,Lab-grown diamond manufacturer / trader,Surat,Gujarat,India,"Company reports lab-grown diamond manufacturing and trading involving CVD", "Reactor ownership and hydrogen relevance are unverified",https://www.nishalgems.com/about,https://www.nishalgems.com/contact,RESEARCHED,5,B,RESEARCHED,2026-08-02,"Confirm direct growth operations","Potential nurture lead"
HS-027,Greenlab Diamonds,CVD grower,Surat,Gujarat,India,"Widely identified as a Surat lab-grown diamond producer; official evidence must be refreshed", "Hydrogen-process relevance likely for CVD operations",https://greenlab.diamonds/,https://greenlab.diamonds/contact-us/,RESEARCHED,8,A,RESEARCHED,2026-08-02,"Verify current official site claims and contact route","High-value target after verification"
HS-028,New Diamond Technology,CVD / HPHT diamond producer,Surat,Gujarat,India,"Candidate lab-grown producer associated with Surat market", "CVD and hydrogen relevance not yet sufficiently evidenced",https://www.newdiamondtechnology.com/,https://www.newdiamondtechnology.com/contact,RESEARCHED,4,C,RESEARCHED,2026-08-02,"Establish official evidence before any outreach","Research-only record"
HS-029,Creative Technologies,Diamond CVD equipment supplier,Surat,Gujarat,India,"Candidate Indian supplier of CVD diamond-growing systems", "Potential direct hydrogen-system documentation relevance",https://creativetechnologies.co.in/,https://creativetechnologies.co.in/contact-us/,RESEARCHED,6,B,RESEARCHED,2026-08-02,"Verify diamond-reactor product line and company identity","Do not outreach until product evidence is confirmed"
HS-030,Surat Diamond Bourse,Industry hub / channel,Surat,Gujarat,India,"Concentrates diamond growers, manufacturers, traders, and service providers", "Not itself a grower; potential channel for locating verified operators",https://www.suratdiamondbourse.in/,https://www.suratdiamondbourse.in/contact-us/,VERIFIED,6,B,VERIFIED,2026-08-02,"Develop channel-partner introduction","Use for referrals and event access, not direct permit remediation"
